Semaine,1,2,3,4,5,6,7,8,9,10
S35,,,,,,,,,,,
S36,,,,,,,,,,,
S37,,C,,,C,,,,,,
S38,,C,,,C,,,,,,
S39,,C,,,C,,,,,,
S40,,C,,,C,,,,,,
S41,,C,,,C,,,,,,
S42,,C,,,C,,,,,,
S43,,C,,,C,,,,,,
S44,,C,,,C,,,,,,
S45,,C,,C,,,C,,,,
S46,,C,,C,F,F,C,,,,
S47,,C,,C,,,C,,,,
S48,,C,,C,,,C,,,,
S49,,C,,C,,,C,,,,
S50,,C,,C,,,C,,,,
S51,,C,,C,,,C,,,,
S52,,,,,,,F,F,F,F,
S53,F,F,F,F,F,F,F,F,F,F,
S1,,E,,,E,E,,,,E,
S2,,C,,,C,C,,,,C,
S3,,C,,,C,C,,,,C,
S4,,C,,,C,C,,,,C,
S5,,C,,,C,C,,,,C,
S6,,,,,,,,,,,
S7,,C,,,C,C,,,,C,
S8,,C,,,C,C,,,,C,
S9,,C,,,C,,,C,,,
S10,,C,,,C,,,C,,,
S11,,C,,,C,,,C,,,
S12,,C,,,C,,,C,,,
S13,F,F,,,C,,,C,,,
S14,,,,,,,,,,,
S15,,,,E,C,,,C,,,
S16,,,,,,,,,,,4
S17,E,E,E,E,E,E,,,,,
S18,,,,,,,F,F,,,
S19,,,,,E,,,,,,
S20,F,F,,,,,,,,,
S21,,,,,,,,,,,
S22,,,,,,,,,,,
S23,,,,,,,,,,,
S24,,,,,,,,,,,
S25,,,,,,,,,,,
S26,,,,,,,,,,,
S27,,,,,,,,,,,
S28,,,,,F,F,,,,,
S29,,,,,,,,,,,
S30,,,,,,,F,F,F,F,
S31,F,F,F,F,F,F,F,F,F,F,
S32,F,F,F,F,F,F,F,F,F,F,
S33,F,F,F,F,F,F,,,,,
